PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,ContactQuality,PlayResult,OutsonPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Direction,Angle,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,ContactPositionX,ContactPositionY,ContactPositionZ,EffectiveVelo,MaxHeight,MeasuredDuration,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ
1,1,1,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.63311909,-1.71403117,-0.909032718,2339.474848,207.372913,1:00,5.851540794,1.169878342,6.505306027,-12.1748052,18.17162803,9.421484615,3.263409137,1.120749472,86.4776698,-4.025554393,0.884540235,0.396483707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.450096369,10.50102439,-1.110663463,50,5.726600203,1.8982953,-137.8259987,-4.497798625,-10.47751829,30.79511074,-11.98639174,NULL,NULL,NULL,95.06664679,NULL,NULL,-1.160192791,3.079090022,-1.162818166
2,1,2,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.60341528,-3.402332637,-1.948330136,2347.879765,213.8213847,1:15,5.748869306,1.111326146,6.496611202,-13.51741276,16.83769317,11.29791742,1.49423473,0.263930209,86.92430784,-5.953929752,0.196579981,0.396540358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.740102914,10.17889537,-0.98017832,50,5.504694625,4.332673431,-137.576482,-8.599534077,-12.97231371,29.31989721,-12.58327589,NULL,NULL,NULL,95.05306517,NULL,NULL,-0.407133887,1.302403702,-0.271544394
3,1,3,Pitcher 1,Right,Team 1,Batter 1,Left,Team 2,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,NULL,Single,NULL,0,NULL,86.33892687,-0.497985551,-1.877924453,2291.136005,182.447346,12:00,5.744549561,1.244975831,5.779706748,-34.61160964,2.316908803,0.100341566,2.396700376,-0.49436584,80.52683081,-6.90948191,-1.859249476,0.437373494,99.51556097,29.65665754,-0.240324322,2690.064868,NULL,NULL,NULL,45.9538763,44.10151319,28.71907326,0.314992065,-0.485004443,1.353802459,-1.090269633,50,5.682391966,4.119978645,-125.7559645,-2.221918163,-0.789927004,21.42584156,-29.96910974,2.25793305,2.47036658,0.415707872,86.1789226,2.47036658,0.301186535,2.334698392,2.507009278,0.464562333
4,2,1,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.56999221,-3.071865725,-2.90706443,2372.089221,210.6716768,1:00,5.789926575,1.099989864,6.231772419,-12.32985761,18.42641984,10.94370406,1.922473258,-0.6719123,86.63886261,-5.394159534,-0.839706472,0.399152086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.756096061,10.88442416,-0.888729829,50,5.55439348,6.62332204,-137.407469,-7.782874218,-12.9533664,29.64057518,-11.3054977,NULL,NULL,NULL,94.43111495,NULL,NULL,-0.880765417,1.703178655,0.703511397
5,2,2,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.80013201,-3.879865915,-2.498949319,2399.47563,214.7579644,1:15,5.791249178,1.044851365,6.361916414,-13.45637147,16.96861034,11.79264602,1.090908426,-0.273326005,87.14483223,-6.410952911,-0.267207929,0.396996504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.120901074,10.32323253,-0.869849177,50,5.503953696,5.636753525,-137.7160757,-9.775040836,-13.74335255,29.16355928,-12.25019022,NULL,NULL,NULL,94.94385007,NULL,NULL,1.104342566,1.055767855,0.274741425
6,2,3,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,1,1,Slider,Slider,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,85.18184202,-0.827270078,-1.525172704,2373.044697,148.601821,11:00,5.771600866,1.349947617,5.916288028,-37.3911382,0.573887058,-0.369602682,1.887690354,-0.096455571,79.10126008,-7.783635711,-1.594386777,0.4434691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.18149279,0.51547693,-1.227691397,50,5.68390133,3.314378598,-124.0477675,-2.958833902,-0.285624786,22.49154484,-31.3628153,NULL,NULL,NULL,84.99436936,NULL,NULL,2.540768225,2.039760655,0.065183044
7,2,4,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,94.38338812,-0.365990591,-2.259138533,2305.395476,220.0293145,1:15,5.839515295,1.052848216,6.242816005,-15.80063727,14.97907199,12.60356137,4.184996889,0.018594662,86.29188422,-3.353229459,0.125328835,0.399304105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.499365846,8.278592138,-0.891185203,50,5.80442447,5.013265805,-137.3924994,-1.388373072,-14.35751047,29.98744375,-16.32471199,NULL,NULL,NULL,94.39516409,NULL,NULL,-1.685964926,3.997723628,-0.02975578
8,2,5,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,80.43705172,3.026600482,0.667779423,1789.671095,40.36669293,7:15,5.714133783,1.168027069,5.908483565,-54.7891288,-11.5674907,-9.802475063,3.960095172,0.970932335,73.5305767,-7.267670138,-1.181637238,0.473175369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.489328358,-7.128521452,-1.215958223,50,5.925701885,-1.07708682,-116.9049478,4.585845767,7.564097616,22.92198417,-41.99689547,NULL,NULL,NULL,79.65836554,NULL,NULL,-1.833496457,3.524638711,-0.90015811
9,2,6,Pitcher 1,Right,Team 1,Batter 2,Right,Team 2,Undefined,1,Top,0,3,2,Fastball,Fastball,InPlay,Undefined,Popup,NULL,Out,NULL,0,NULL,93.98857113,-0.953164906,-1.00521101,2178.527321,213.3666056,1:00,5.762695886,1.229557871,6.314347105,-14.60024755,16.39277585,10.81236292,3.667934787,1.204701368,85.8203718,-3.718277723,1.046460442,0.400685374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.20497368,9.247068179,-1.161328688,50,5.686008491,2.059629422,-136.879755,-2.739578917,-11.75974238,30.51182778,-14.6488913,NULL,NULL,NULL,94.06975877,NULL,NULL,1.164513479,3.65151172,-1.209332091
10,3,1,Pitcher 1,Right,Team 1,Batter 3,Left,Team 2,Undefined,1,Top,2,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,NULL,Double,NULL,0,NULL,93.36517659,-2.668026945,-1.563775897,2360.964012,217.8137301,1:15,5.804406462,1.119413107,6.539195712,-16.17223979,14.93679483,11.61203459,2.007275126,0.652637472,85.69160528,-5.72793976,0.64481289,0.401434585,89.65846511,-8.936671618,16.44199006,2100.785802,107.8858356,25.36366567,-21.46126619,274.0028313,273.7931372,-15.69039086,2.85583313,-6.83173352,8.966490349,-1.016353802,50,5.612705585,3.360815169,-135.8900202,-6.820769833,-12.80460028,29.12214134,-15.36831037,1.019459867,1.965012062,-0.687729803,93.89419337,27.80899106,2.853136979,0.961988996,1.961544426,-0.657841566
11,4,1,Pitcher 1,Right,Team 1,Batter 4,Right,Team 2,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,FlyBall,NULL,Out,NULL,0,NULL,84.19702031,0.21106247,-1.116821027,2327.678685,87.71909722,9:00,5.764665173,1.09567126,5.541335768,-39.26194638,-0.136442529,-2.606359129,2.690109185,-0.165308956,78.61897872,-7.030618111,-1.59981955,0.450195853,102.7219381,-8.779826887,34.38199901,4153.812316,109.1819409,76.59762865,-13.39001736,383.8404124,134.6203405,-3.864759009,6.004894409,1.128755272,-0.120199042,-0.997263825,50,5.756723699,2.477443684,-122.6529901,-0.849066117,1.750597583,20.14334462,-32.36046643,2.050270739,2.752844723,0.079860422,83.72439746,121.0152815,1.396220934,2.227094819,2.789222525,0.142732178
12,1,1,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.5824651,-3.635745301,1.896948906,2513.211561,164.8488266,11:30,6.791387875,-1.815575166,6.350946,-6.086674102,22.68110358,-6.148065544,2.931657113,-0.581411557,89.2593166,-4.785313903,0.731727164,0.386033216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.887304051,13.42504913,1.68108114,50,6.524713886,-4.496757348,-141.824937,-9.215142105,7.932003275,31.88308879,-4.780376157,NULL,NULL,NULL,97.64024164,NULL,NULL,-2.405908811,2.608405415,0.535844763
13,1,2,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.04651218,-3.35783634,3.214259962,2517.97784,161.6853299,11:30,6.719815566,-1.708691516,6.4605296,-8.133723153,20.8120092,-6.896816638,2.949629516,0.671783512,88.96049125,-4.89612826,1.907881072,0.387225357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.650107666,12.34330239,1.484968333,50,6.478748338,-7.698597778,-140.986298,-8.543278935,9.397612989,30.83414801,-7.228910262,NULL,NULL,NULL,97.33963903,NULL,NULL,-2.37771362,2.620175327,-0.794584152
14,1,3,Pitcher 1,Left,Team 2,Batter 1,Right,Team 1,Undefined,1,Bottom,0,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,82.76382544,-1.520494513,1.966459899,2639.683903,325.2898091,4:45,6.739264475,-1.775134201,5.191131218,-56.23324215,-14.1517438,9.778545704,0.62181048,0.890116375,76.50076532,-11.82052055,3.786819639,0.466892735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.561473599,-7.000753197,1.585626568,50,6.556690744,-4.454833019,-120.1716099,-5.082399966,-6.616615239,25.03941507,-42.32894462,NULL,NULL,NULL,80.73027001,NULL,NULL,2.751817616,0.898326649,-0.802356668
15,2,1,Pitcher 1,Left,Team 2,Batter 2,Left,Team 1,Undefined,1,Bottom,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.20883845,-3.649752664,3.676001959,2471.705348,164.806852,11:30,6.814224207,-1.659735615,6.655833914,-10.91210548,17.846609,-4.853038005,2.553820547,1.304128871,88.95858834,-5.718499559,2.753004426,0.385972402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.706354375,10.90440682,1.41476308,50,6.564011083,-8.919310833,-141.1244198,-9.351914782,7.479686247,31.91317157,-10.16818149,NULL,NULL,NULL,97.6556259,NULL,NULL,-2.066084723,2.199803549,-1.469441937
16,2,2,Pitcher 1,Left,Team 2,Batter 2,Left,Team 1,Undefined,1,Bottom,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.56748975,-3.033969015,3.551197848,2444.616788,162.9573908,11:30,6.657984982,-1.538823501,6.779061975,-10.10975125,18.23762701,-5.597883207,3.0379256,1.240667737,89.30042119,-4.958132189,2.484108413,0.383202177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.091035208,10.98803994,1.310078417,50,6.456459055,-8.632975926,-141.7866892,-7.829719136,8.339508357,32.00078698,-9.775108859,NULL,NULL,NULL,98.36159285,NULL,NULL,-1.936198072,2.742604327,-1.383811485
17,2,3,Pitcher 1,Left,Team 2,Batter 2,Left,Team 1,Undefined,1,Bottom,1,2,0,Fastball,Fastball,InPlay,Undefined,LineDrive,NULL,Single,NULL,0,NULL,96.68906244,-3.982324505,3.508974167,2451.605287,167.6413822,11:30,6.664327259,-1.721408877,6.771155992,-10.70676497,18.34885281,-4.02567539,2.123449043,1.150892552,88.18319037,-6.018365718,2.740012498,0.387959665,70.57667406,-13.09601832,24.53408344,2955.540428,105.1192032,32.919827,-32.40156836,224.7378531,224.4436638,-20.49380112,3.112926636,3.255654907,11.37635718,1.494320497,50,6.400089663,-8.487175308,-140.3339893,-10.1020086,6.469418798,32.80639426,-9.567715546,1.183432491,2.108135295,-1.18067074,97.1554003,33.23139208,3.107895578,1.337964939,2.115139709,-1.154658197
18,3,1,Pitcher 1,Left,Team 2,Batter 3,Right,Team 1,Undefined,1,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,80.4332732,-0.952097493,2.382608857,2573.90602,322.9210566,4:45,6.732238953,-1.858453583,6.19511083,-51.92368704,-9.00661481,6.779398439,1.525567488,0.907088429,74.03667432,-10.68071613,3.668335063,0.471505282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.974209445,-4.630302952,1.675917732,50,6.634469177,-5.0531499,-116.966894,-3.372787499,-4.079612798,24.10004192,-38.5252634,NULL,NULL,NULL,79.94051814,NULL,NULL,0.756632718,1.399998574,-0.949512823
19,3,2,Pitcher 1,Left,Team 2,Batter 3,Right,Team 1,Undefined,1,Bottom,1,1,0,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,86.12437191,-2.421958431,2.948453258,1658.132805,130.2094553,10:15,6.559627378,-2.121487844,6.325859926,-27.10720214,9.934309694,-11.78827768,2.06628778,-0.386534297,78.98871525,-7.528017231,0.713318532,0.438042118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.290280017,6.126748345,1.912149395,50,6.369842391,-6.107572144,-125.1867121,-6.08437898,11.55533996,25.55267891,-22.46294558,NULL,NULL,NULL,86.04737982,NULL,NULL,-0.931274862,1.750558103,0.359660758
20,3,3,Pitcher 1,Left,Team 2,Batter 3,Right,Team 1,Undefined,1,Bottom,1,1,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,86.67695826,-2.222106972,2.867168357,1727.433977,142.3233914,10:45,6.531211252,-2.155289698,6.441324122,-23.97986726,12.46452565,-9.649025911,2.487685161,-0.322887579,79.27329863,-6.758710112,1.032453888,0.434497096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.133610011,7.499327081,1.956405681,50,6.362621946,-6.038444463,-126.027172,-5.575803351,9.836009733,26.30817294,-20.14794093,NULL,NULL,NULL,86.74943249,NULL,NULL,-1.716010646,2.107745154,0.269900027
21,3,4,Pitcher 1,Left,Team 2,Batter 3,Right,Team 1,Undefined,1,Bottom,1,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,82.70042028,-2.010654245,1.739212314,2647.006101,338.9191248,5:15,6.746140965,-1.738860182,5.37973025,-55.92100517,-13.8504779,5.32561847,0.199818635,0.335614065,76.0929535,-12.30802404,2.737890122,0.466831869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.276368708,-6.719674631,1.579716378,50,6.527760603,-3.818126815,-120.0493948,-6.032130916,-3.276062531,26.24073535,-41.84474654,NULL,NULL,NULL,80.74079567,NULL,NULL,-2.031110865,-0.577305967,-0.502780041
22,4,1,Pitcher 1,Left,Team 2,Batter 4,Right,Team 1,Undefined,1,Bottom,2,0,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,87.0517635,-2.155764332,2.619559317,1688.001602,110.8483321,9:45,6.517747,-2.147306093,6.715328771,-30.15666533,5.553001439,-14.65951684,2.031343309,-0.973001137,79.8903027,-7.877772369,-0.182893318,0.430095023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.89781962,3.702949309,1.980010077,50,6.36307798,-5.401664537,-126.6636656,-5.58231874,14.41929279,26.47362341,-26.17326269,NULL,NULL,NULL,87.63732313,NULL,NULL,-1.107666499,1.674967592,0.984506508
23,4,2,Pitcher 1,Left,Team 2,Batter 4,Right,Team 1,Undefined,1,Bottom,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,90.55685176,-4.315586953,4.150405463,2460.952077,220.3349922,1:15,6.603787556,-1.711798397,6.656053529,-27.5311179,5.530313026,4.719268806,0.342754542,2.485870424,84.15210733,-9.449686341,5.042535431,0.413839882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.533834246,4.186781974,1.430905852,50,6.30153548,-9.664027368,-131.3300726,-10.71866584,-2.696100078,26.13513622,-24.81472454,NULL,NULL,NULL,91.07961355,NULL,NULL,1.352847947,0.332087243,-2.491502275
24,4,3,Pitcher 1,Left,Team 2,Batter 4,Right,Team 1,Undefined,1,Bottom,2,2,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,87.15003757,-4.453940108,2.806952805,1836.226365,120.8944588,10:00,6.435115877,-2.017653339,6.785609606,-26.48027465,9.299006394,-15.59078759,0.149912614,-0.752738775,79.95592328,-9.459121855,-0.180431009,0.430514044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.514946345,6.490189269,1.841544558,50,6.135241261,-5.791465511,-126.4918865,-10.5617105,15.34175337,26.96201905,-21.70936705,NULL,NULL,NULL,87.55202546,NULL,NULL,2.73037664,0.367104636,0.749593996
25,4,4,Pitcher 1,Left,Team 2,Batter 4,Right,Team 1,Undefined,1,Bottom,2,3,0,ChangeUp,ChangeUp,BallCalled,Walk,Undefined,NULL,Undefined,NULL,0,NULL,87.79251228,-3.165511371,4.427121439,1818.527638,138.918641,10:45,6.476489542,-2.022493634,6.884101518,-22.034503,12.74507413,-11.13622366,1.744769592,1.09085577,81.03075246,-7.340867611,2.307442613,0.424456968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.362054421,7.935387872,1.746664838,50,6.267760087,-9.579038055,-127.488778,-7.648417672,12.20018582,24.51807017,-19.02375095,NULL,NULL,NULL,88.8014084,NULL,NULL,0.880846676,1.675455148,-1.112330093
26,5,1,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,96.40804541,-5.117307051,2.222011978,2492.057587,152.819692,11:00,6.614406372,-1.873947205,6.645756725,-10.37106745,18.82428786,-9.678695749,1.050722146,-0.645881157,88.595448,-7.073433499,0.380039536,0.388891455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.949714184,11.78716349,1.728423256,50,6.264679281,-5.135132949,-139.8968594,-12.85143205,11.84158147,30.29324347,-8.714323853,NULL,NULL,NULL,96.92261432,NULL,NULL,0.439300063,0.929083282,0.639733217
27,5,2,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,1,0,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,87.30828066,-2.547012187,3.060794142,1698.996111,129.2746251,10:15,6.464365645,-2.144714619,6.977722463,-24.11433572,10.72891334,-13.15555665,2.133709788,-0.454829689,80.77464448,-7.126051372,0.548154548,0.424845322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.144777283,6.656060747,1.961014026,50,6.298951523,-6.459364008,-127.0798096,-6.276543469,13.4308175,23.9949771,-21.19813921,NULL,NULL,NULL,88.72023425,NULL,NULL,-1.134599505,1.809015378,0.433543845
28,5,3,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,97.07720128,-3.616113876,1.287581238,2466.012023,160.1934287,11:15,6.634125229,-1.987859979,6.712602289,-10.08789648,18.3813831,-6.628637822,2.482956444,-1.36314523,89.51971679,-5.524137055,0.026529598,0.384025229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.002406461,11.11164677,1.905410305,50,6.390637719,-2.974920654,-141.2686569,-9.234810384,8.156980494,29.61978689,-9.528301087,NULL,NULL,NULL,98.15078192,NULL,NULL,-1.337890216,2.213785395,1.363687387
29,5,4,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,2,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,95.69151022,-3.93442752,1.781887163,2386.711569,159.9136664,11:15,6.627115,-1.921703647,6.490534389,-11.12864351,18.45255182,-6.756706167,2.080810491,-0.848609342,88.28020471,-6.028408566,0.502309517,0.391452777,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.165823122,11.1433519,1.800003424,50,6.346225938,-4.117069714,-139.1275179,-9.921179117,8.238436459,28.59195981,-10.13667589,NULL,NULL,NULL,96.28843826,NULL,NULL,-1.939764313,1.721842912,0.821912743
30,5,5,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,82.59377923,-2.934335572,1.687453071,2761.82736,320.933433,4:45,6.756618669,-1.6538944,6.244108157,-50.07879933,-9.710845198,7.855057941,-0.12625683,0.557344422,76.97746595,-12.22242192,3.173571916,0.457288088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.816882102,-4.479052665,1.524611007,50,6.513482616,-3.759132606,-120.0957186,-7.568186728,-5.56780571,23.51751365,-38.70778325,NULL,NULL,NULL,82.42588761,NULL,NULL,-1.610784949,-0.799701018,-0.727814292
31,5,6,Pitcher 1,Left,Team 2,Batter 5,Right,Team 1,Undefined,1,Bottom,2,3,2,ChangeUp,ChangeUp,InPlay,Undefined,FlyBall,NULL,Out,NULL,0,NULL,88.20131264,-2.216346955,3.084609854,1810.214479,140.2444803,10:45,6.502293699,-1.965414135,6.825933858,-21.0090123,13.52421938,-11.27413664,2.726149527,-0.088843336,80.96176979,-6.214126548,0.93091077,0.422951072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.129995062,8.148280685,1.771703061,50,6.35191862,-6.615804686,-128.3322525,-5.53266414,11.91146774,26.11937787,-18.56141885,NULL,NULL,NULL,89.11758135,NULL,NULL,1.919405533,2.780703097,0.097116386
32,1,1,Pitcher 1,Right,Team 1,Batter 5,Left,Team 2,Undefined,2,Top,0,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,92.92294606,-1.660859893,-1.287943643,2415.828805,204.3302131,12:45,5.836879135,1.136576129,6.062808732,-13.70611428,18.34416688,8.306442908,3.156952578,0.636737971,84.81456795,-4.24328679,0.281095575,0.407462307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4.871098075,10.42472536,-1.041273417,50,5.70083274,2.767481837,-135.2208984,-4.371675601,-9.00854189,29.80175702,-12.89470463,NULL,NULL,NULL,92.50518596,NULL,NULL,-0.984350971,2.975964221,-0.650240321
33,1,2,Pitcher 1,Right,Team 1,Batter 5,Left,Team 2,Undefined,2,Top,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,93.88847124,-2.469177636,-1.729257843,2474.295847,210.0275169,1:00,5.792784683,1.085470339,6.522975243,-13.82151521,17.03049974,9.858343998,2.373452499,0.320180259,85.86520541,-5.090361994,0.147505471,0.39977284,80.68539182,-61.71877321,24.40475348,3827.274597,45.21712196,37.46126275,-100.2764292,258.0709942,145.8940709,-71.91145738,3.321403198,-5.92255187,10.08729424,-0.969729491,50,5.61514274,3.826823692,-136.636308,-6.31290811,-11.19260152,30.20229127,-13.11080228,0.994489397,2.322432054,-0.363681258,94.28448558,39.86759639,1.634768656,1.155388205,2.350143946,-0.320877371
34,1,3,Pitcher 1,Right,Team 1,Batter 5,Left,Team 2,Undefined,2,Top,0,0,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,94.5609462,-2.73435623,-3.154512078,2371.296245,217.8866156,1:15,5.77495248,1.084021467,6.341115464,-14.49616701,16.1990639,12.62447005,2.04415915,-0.770685252,86.45576499,-5.473910875,-0.762271491,0.398755761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.79477825,9.638447195,-0.860836815,50,5.569109957,7.173549226,-137.4054896,-7.030784176,-14.90630712,30.3674829,-13.74200989,NULL,NULL,NULL,94.52497041,NULL,NULL,-0.117467234,1.895897054,0.790022312
35,2,1,Pitcher 1,Right,Team 1,Batter 6,Right,Team 2,Undefined,2,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,84.78917969,-0.408242584,-1.956770163,2516.504575,34.72386073,7:15,5.781668193,1.122323096,5.598229287,-41.18664188,-2.488670112,-1.702403256,1.968128392,-0.846881966,78.9931184,-8.012405804,-2.273075758,0.447729407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.434629982,-1.225587574,-0.953743871,50,5.719903675,4.27301717,-123.4291013,-2.235208071,0.679296817,21.54537593,-34.08955778,NULL,NULL,NULL,84.18561728,NULL,NULL,-0.396717263,1.708013732,0.919054055
36,2,2,Pitcher 1,Right,Team 1,Batter 6,Right,Team 2,Undefined,2,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,85.0539693,-0.698613404,-1.124105486,2394.836956,18.41160433,6:30,5.830084318,1.059090556,5.7633649,-41.66921581,-3.50973537,-1.157729259,1.707356384,-0.08362379,79.38034806,-8.408455742,-1.339965526,0.444603364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.351379509,-1.711210108,-0.965440293,50,5.746808487,2.468192481,-123.8922388,-2.849775731,0.553735172,21.52704695,-34.87072608,NULL,NULL,NULL,84.77753327,NULL,NULL,-0.249635977,1.456983908,0.122711414
