PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,ContactQuality,PlayResult,OutsonPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Direction,Angle,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,ContactPositionX,ContactPositionY,ContactPositionZ,EffectiveVelo,MaxHeight,MeasuredDuration,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ
197,2,3,Pitcher 4,Left,Team 1,Batter 1,Left,Team 2,Undefined,7,Top,1,2,0,Slider,Slider,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,79.36078936,0.57595771,3.206421993,2310.059862,277.8605008,3:15,4.915150492,-2.653784236,5.425505676,-46.04535635,-1.141592671,7.997625954,1.618289142,1.018656145,73.42310914,-7.92178879,4.688898282,0.482295145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.386476749,-0.75772538,2.363999162,50,4.934542371,-6.710855445,-115.3074286,-0.285311933,-4.579856608,20.53746629,-33.19879311,NULL,NULL,NULL,78.1520961,NULL,NULL,0.551623882,1.496318993,-1.089814604
198,2,4,Pitcher 4,Left,Team 1,Batter 1,Left,Team 2,Undefined,7,Top,1,3,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,91.98035967,-1.571248842,4.442018995,2211.90702,107.4939033,9:30,5.154712896,-2.508399665,6.034487483,-27.08359105,5.583514707,-17.80165846,1.438214775,0.129152244,84.76632957,-6.637392498,1.103836541,0.411364535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.77182575,3.424756922,2.171237456,50,5.017042403,-9.791088648,-133.5591873,-4.563516822,19.60665758,26.69401876,-25.94037584,NULL,NULL,NULL,91.62767635,NULL,NULL,0.979483231,1.387150093,-0.137456101
199,2,5,Pitcher 4,Left,Team 1,Batter 1,Left,Team 2,Undefined,7,Top,1,3,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,93.4282774,-1.469761375,4.521688893,2313.729756,110.5994981,9:45,5.240817822,-2.538360283,6.033082511,-24.34926044,7.443843022,-19.87509479,1.84631007,0.000734122,85.63405715,-6.039380493,0.786301485,0.405824236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.98249111,4.428087893,2.195940069,50,5.112573882,-10.06441222,-135.6128814,-4.299222177,22.38715218,28.75365463,-23.90095437,NULL,NULL,NULL,92.87857439,NULL,NULL,-0.086802178,1.685271454,-0.01977026
200,2,6,Pitcher 4,Left,Team 1,Batter 1,Left,Team 2,Undefined,7,Top,1,3,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,NULL,Undefined,NULL,0,NULL,93.19309969,-1.77354585,4.547496284,2206.573114,140.2142547,10:45,5.498428957,-2.090770034,6.358267885,-16.24072846,15.35172514,-12.80604701,2.507294688,1.035593191,85.23447136,-4.844574589,2.127633908,0.404541608,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.259791394,8.900081433,1.767423951,50,5.362080304,-10.36364389,-135.3045095,-4.70745508,15.34398593,28.94528939,-15.64061354,NULL,NULL,NULL,93.17305258,NULL,NULL,-1.22571054,2.279085938,-1.130530143
201,3,1,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,0,0,Sinker,Fastball,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,89.60807567,-3.100123295,-3.981248137,2192.033636,243.3172914,2:00,5.365406292,1.896213932,6.412934243,-24.95414205,9.034721386,18.0334608,0.426353193,-0.266749024,82.6749788,-7.789255565,-0.57137724,0.419604212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.93324377,5.766922124,-1.620132447,50,5.131932011,8.520910344,-130.1113197,-7.803624565,-18.85931997,25.70111995,-22.22638509,NULL,NULL,NULL,89.82840353,NULL,NULL,3.066557617,0.649635487,0.248545744
202,3,2,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,1,0,Sinker,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,88.46080399,-1.45708829,-3.008078498,2030.068367,245.9274112,2:15,5.328538848,1.92767383,6.536447559,-27.145271,7.283110549,16.36678899,1.727981274,0.530277831,81.90246506,-6.574071263,0.09044372,0.422308499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.760488741,4.373030015,-1.726594951,50,5.215634853,6.297964708,-128.7814725,-4.058783293,-16.56286379,24.12510963,-24.7533238,NULL,NULL,NULL,89.25318005,NULL,NULL,0.344835104,1.603344864,-0.532640603
203,3,3,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,1,1,Sinker,Fastball,StrikeCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,89.88848892,-0.678134877,-4.00487216,2060.760133,250.1521014,2:15,5.48197394,1.891853904,6.570436407,-27.42161141,5.888860729,16.3910968,2.573762935,-0.418768359,83.16765364,-5.854307146,-0.905650608,0.41539562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-10.01390924,3.411919605,-1.623843817,50,5.423457789,8.681180141,-130.7711483,-2.345285204,-17.54723649,24.50056606,-26.1953884,NULL,NULL,NULL,90.73850263,NULL,NULL,-1.568350146,2.258927065,0.460735773
204,3,4,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,1,2,Sinker,Fastball,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,88.58825326,-1.48935066,-2.445824245,1993.020618,250.9057472,2:15,5.330916992,1.891149962,6.594961007,-28.46309155,5.752901139,16.70121192,1.593054318,1.040948364,82.12659047,-6.856461031,0.720536792,0.421003872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.823572888,3.544433364,-1.731502358,50,5.217106591,5.037719584,-129.0371041,-4.165701136,-16.73793123,24.19403779,-26.13485257,NULL,NULL,NULL,89.52976204,NULL,NULL,1.854961648,1.645565155,-1.035550578
205,3,5,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,1,2,Slider,Slider,BallCalled,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,82.8324242,-1.587264698,-3.20600744,2022.843524,174.0889773,11:45,5.278178843,1.921457485,6.438593563,-34.42333213,5.227061171,-0.544604272,0.94849085,-1.072761346,76.6121155,-8.053401881,-3.308987361,0.453205601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.55281156,3.29461911,-1.693712806,50,5.149692576,6.764301512,-120.4961272,-4.282740502,-0.81628813,22.46236384,-27.30917476,NULL,NULL,NULL,83.16838201,NULL,NULL,1.616822396,0.976808968,1.061189721
206,3,6,Pitcher 5,Right,Team 1,Batter 2,Right,Team 2,Undefined,7,Top,2,2,2,Sinker,Fastball,FoulBall,Undefined,Undefined,NULL,Undefined,NULL,0,NULL,89.14615369,-1.949214855,-2.697988961,2018.578338,252.1758666,2:30,5.265565697,1.876767826,6.761019455,-28.62995855,5.041289968,15.76642445,1.097056152,0.725019251,82.52411974,-7.364785607,0.303286264,0.417639078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.447624829,3.29843807,-1.706788618,50,5.126888182,5.684161415,-129.8055641,-5.20843825,-16.24921664,25.12221704,-26.50097879,NULL,NULL,NULL,90.25107681,NULL,NULL,1.733329433,1.137882689,-0.723400005
