"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
3,2,0,1,1,1,2.82692307692308
2,0,0,1,1,1,2.5
3,1,0,1,1,1,2.48387096774194
3,0,0,1,1,1,2.47058823529412
3,0,0,0,1,1,2.42307692307692
2,1,0,1,1,1,2.4
0,0,0,1,1,1,2.39407744874715
3,1,0,0,1,1,2.39024390243902
0,1,0,1,1,1,2.36945812807882
1,0,0,1,1,1,2.34319526627219
1,1,0,1,1,1,2.26797385620915
3,0,1,1,1,1,2.20689655172414
2,2,0,1,1,1,2.18269230769231
1,2,0,1,1,1,2.16778523489933
3,1,1,1,1,1,2.16129032258065
3,0,0,1,1,0,2.13559322033898
3,2,0,0,1,1,2.10227272727273
2,1,0,0,1,1,2.07594936708861
0,2,0,1,1,1,2.06896551724138
1,0,0,0,1,1,2.06666666666667
2,0,0,0,1,1,2.03636363636364
3,1,0,1,1,0,2.02830188679245
1,1,0,0,1,1,1.9937106918239
2,0,0,1,0,1,1.95454545454545
0,0,0,0,1,1,1.94638069705094
0,1,0,0,1,1,1.94300518134715
2,2,0,1,0,1,1.94285714285714
3,0,0,1,0,1,1.91666666666667
2,0,0,1,1,0,1.84513274336283
1,0,0,1,0,1,1.79512195121951
0,0,0,1,0,1,1.76206322795341
2,1,0,1,0,1,1.75490196078431
2,0,1,1,1,1,1.73282442748092
0,2,0,0,1,1,1.73148148148148
3,1,0,1,0,1,1.72727272727273
1,2,0,1,0,1,1.72340425531915
3,2,1,1,1,1,1.70512820512821
1,1,0,1,0,1,1.6875
0,1,0,1,0,1,1.67905405405405
3,2,0,1,0,1,1.66666666666667
3,2,0,1,1,0,1.66300366300366
3,0,1,1,0,1,1.64583333333333
2,1,0,1,1,0,1.62691131498471
1,0,0,1,1,0,1.60708782742681
1,0,1,1,1,1,1.59408602150538
2,1,1,1,1,1,1.59278350515464
0,2,0,1,0,1,1.56296296296296
0,0,1,1,1,1,1.52636815920398
3,0,2,1,1,1,1.52542372881356
3,2,1,0,1,1,1.51595744680851
1,2,0,0,1,1,1.51388888888889
3,0,1,0,1,1,1.5
2,2,0,0,1,1,1.48888888888889
0,1,1,1,1,1,1.47628865979381
0,0,0,1,1,0,1.46838276440963
3,1,1,0,1,1,1.46590909090909
3,0,1,0,0,1,1.45652173913043
2,0,1,0,1,1,1.44202898550725
1,1,0,1,1,0,1.41587301587302
1,1,1,1,1,1,1.4141689373297
0,2,1,1,1,1,1.39607843137255
2,2,1,1,1,1,1.38538205980066
1,0,1,0,1,1,1.38375350140056
0,0,1,0,1,1,1.35630841121495
2,2,0,1,1,0,1.34848484848485
2,1,1,0,1,1,1.34170854271357
0,1,0,1,1,0,1.33560864618885
2,0,1,1,0,1,1.3109756097561
1,1,1,0,1,1,1.30563798219585
1,2,1,1,1,1,1.27653631284916
1,0,1,1,0,1,1.26138613861386
2,0,0,0,1,0,1.25757575757576
0,1,1,0,1,1,1.25659472422062
3,0,0,1,0,0,1.25357142857143
0,2,0,1,1,0,1.23706896551724
3,1,1,1,0,1,1.22352941176471
2,1,1,1,0,1,1.22065727699531
3,2,0,0,0,1,1.22033898305085
1,0,0,0,0,1,1.20689655172414
1,1,1,1,0,1,1.20484581497797
2,2,0,0,0,1,1.19277108433735
2,1,0,0,1,0,1.19160104986877
3,2,1,1,0,1,1.18279569892473
0,0,1,1,0,1,1.18181818181818
3,1,2,1,1,1,1.17647058823529
2,0,0,0,0,1,1.17142857142857
1,2,0,1,1,0,1.15646258503401
2,0,1,0,0,1,1.15037593984962
3,2,0,0,1,0,1.14725274725275
2,2,1,0,1,1,1.13770491803279
3,1,0,0,1,0,1.13368983957219
2,2,1,1,0,1,1.13333333333333
3,0,0,0,1,0,1.13186813186813
2,0,2,1,1,1,1.13173652694611
3,1,1,0,0,1,1.13
1,2,1,0,1,1,1.1178247734139
0,2,1,0,1,1,1.09745762711864
0,0,0,0,0,1,1.09340659340659
2,0,0,1,0,0,1.09110867178924
0,0,0,0,1,0,1.08823529411765
0,1,0,0,0,1,1.08045977011494
0,2,0,0,0,1,1.07692307692308
1,0,0,0,1,0,1.07225433526012
3,1,0,1,0,0,1.06509945750452
0,1,1,1,0,1,1.06461538461538
0,1,0,0,1,0,1.05399061032864
1,1,0,0,1,0,1.05307262569832
1,1,0,0,0,1,1.03571428571429
1,0,1,0,0,1,1.0326409495549
3,1,1,1,1,0,1.02573529411765
2,1,0,0,0,1,1.01923076923077
2,2,0,0,1,0,1.01799100449775
3,2,2,1,1,1,1.0042735042735
1,2,0,0,0,1,1
3,1,0,0,0,1,1
3,2,1,0,0,1,0.979899497487437
3,2,0,1,0,0,0.973098330241187
1,0,1,1,1,0,0.9713400464756
1,2,1,1,0,1,0.969837587006961
0,0,1,0,0,1,0.967130214917826
2,1,1,0,0,1,0.966507177033493
2,1,0,1,0,0,0.958267716535433
1,0,2,1,1,1,0.953156822810591
0,2,0,0,1,0,0.952173913043478
2,0,1,1,1,0,0.951541850220264
1,0,0,1,0,0,0.937881508078995
2,1,1,1,1,0,0.936608557844691
3,2,1,1,1,0,0.932743362831858
3,0,1,1,1,0,0.930555555555556
3,0,0,0,0,1,0.928571428571429
0,0,1,1,1,0,0.922360248447205
2,1,2,1,1,1,0.91701244813278
1,2,0,0,1,0,0.915430267062315
3,0,1,0,1,0,0.914285714285714
1,1,1,1,1,0,0.901830282861897
3,1,2,1,0,1,0.901408450704225
1,1,1,0,0,1,0.873949579831933
0,0,0,1,0,0,0.869081535748202
2,2,0,1,0,0,0.855543710021322
1,1,0,1,0,0,0.853363567649282
2,2,1,1,1,0,0.850779510022272
1,1,2,1,1,1,0.829076620825147
0,1,1,1,1,0,0.825573770491803
3,1,1,0,1,0,0.822888283378747
0,1,1,0,0,1,0.816216216216216
0,0,2,1,1,1,0.812163202463433
3,0,2,1,0,1,0.802469135802469
3,0,1,1,0,0,0.802395209580838
1,2,1,1,1,0,0.801980198019802
0,2,1,1,0,1,0.801136363636364
3,0,2,0,1,1,0.79746835443038
2,0,1,0,1,0,0.793103448275862
0,1,0,1,0,0,0.784654877353109
3,0,2,1,1,0,0.774011299435028
1,2,0,1,0,0,0.770008084074373
2,2,1,0,0,1,0.754208754208754
3,1,1,1,0,0,0.745269286754003
1,2,1,0,0,1,0.74390243902439
2,2,2,1,1,1,0.730458221024259
0,2,1,1,1,0,0.724053724053724
3,2,1,0,1,0,0.723214285714286
3,2,2,1,0,1,0.708154506437768
1,0,1,0,1,0,0.702408702408702
0,1,2,1,1,1,0.694992412746586
3,0,0,0,0,0,0.693788276465442
0,0,1,0,1,0,0.676897133220911
2,0,1,1,0,0,0.673764906303237
0,2,0,1,0,0,0.672796106003245
3,1,0,0,0,0,0.662548262548263
0,2,1,0,0,1,0.66120218579235
2,0,2,1,0,1,0.654901960784314
2,1,1,0,1,0,0.651655629139073
1,2,2,1,1,1,0.645714285714286
1,1,1,0,1,0,0.644808743169399
0,1,1,0,1,0,0.636986301369863
3,1,2,1,1,0,0.636871508379888
1,2,1,0,1,0,0.630718954248366
2,0,2,0,1,1,0.615789473684211
3,1,2,0,1,1,0.613636363636364
3,2,1,1,0,0,0.601725377426312
3,0,2,0,0,1,0.597826086956522
1,0,2,1,0,1,0.591891891891892
1,0,2,0,1,1,0.583148558758315
2,1,2,1,0,1,0.57957957957958
0,0,2,0,1,1,0.578774617067834
2,0,2,1,1,0,0.577981651376147
2,1,2,0,1,1,0.577777777777778
0,2,1,0,1,0,0.57725587144623
2,2,1,0,1,0,0.571180555555556
2,1,1,1,0,0,0.564525633470831
2,0,0,0,0,0,0.559542381695268
1,0,1,1,0,0,0.549585595884538
1,1,2,0,1,1,0.541860465116279
3,2,0,0,0,0,0.538970469582056
0,1,2,0,1,1,0.531453362255965
3,2,2,0,0,1,0.519900497512438
2,1,0,0,0,0,0.519826517967782
0,0,1,1,0,0,0.517969499840034
3,1,2,0,0,1,0.515957446808511
1,0,2,1,1,0,0.515399120050283
2,1,2,1,1,0,0.513221153846154
0,0,2,1,0,1,0.504797441364606
1,0,0,0,0,0,0.503223070398643
0,2,2,1,1,1,0.502659574468085
2,2,2,0,1,1,0.482758620689655
0,2,2,0,1,1,0.482352941176471
0,0,0,0,0,0,0.475543048660954
1,1,0,0,0,0,0.474200895311396
0,1,1,1,0,0,0.469887491727333
2,0,2,0,0,1,0.468634686346863
1,1,2,1,0,1,0.46801872074883
1,1,1,1,0,0,0.467439785905442
2,2,1,1,0,0,0.465362673186634
0,0,2,1,1,0,0.451434323100151
3,0,2,0,1,0,0.45
2,2,0,0,0,0,0.445890345421491
3,2,2,0,1,1,0.443636363636364
0,1,0,0,0,0,0.441395602398692
1,1,2,1,1,0,0.438946015424165
0,2,1,1,0,0,0.434343434343434
3,2,2,1,1,0,0.421656050955414
1,2,0,0,0,0,0.417543291794789
1,0,2,0,0,1,0.417040358744395
1,2,1,1,0,0,0.405833861762841
2,1,2,0,0,1,0.404040404040404
0,1,2,1,0,1,0.399772209567198
1,2,2,0,1,1,0.398169336384439
2,0,2,0,1,0,0.392441860465116
0,0,2,0,0,1,0.381518151815182
0,1,2,1,1,0,0.381027253668763
2,2,2,1,0,1,0.376391982182628
0,2,0,0,0,0,0.374882518796992
