"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
1,0,2,0,1,0,0.364809384164223
3,0,1,0,0,0,0.363741339491917
3,1,2,0,1,0,0.354700854700855
1,1,2,0,0,1,0.352574102964119
2,2,2,1,1,0,0.342857142857143
3,1,1,0,0,0,0.336990595611285
2,1,2,0,1,0,0.330978809283552
1,2,2,1,1,0,0.327477160927618
0,1,2,0,0,1,0.325842696629214
0,0,2,0,1,0,0.320318520421269
2,2,2,0,0,1,0.317114093959732
0,2,2,1,0,1,0.316916488222698
3,2,1,0,0,0,0.313778377163408
0,2,2,1,1,0,0.30672268907563
1,1,2,0,1,0,0.302631578947368
3,0,2,1,0,0,0.301775147928994
2,0,2,1,0,0,0.3
2,0,1,0,0,0,0.296121416526138
1,2,2,1,0,1,0.295608108108108
2,1,1,0,0,0,0.284171167428334
0,1,2,0,1,0,0.278996865203762
3,1,2,1,0,0,0.275103163686382
1,0,1,0,0,0,0.272028517322045
0,2,2,0,0,1,0.271820448877805
1,2,2,0,0,1,0.27172195892575
3,2,2,0,1,0,0.262476894639556
0,0,1,0,0,0,0.258845357266137
1,1,1,0,0,0,0.256001699596346
2,2,2,0,1,0,0.245703373647358
1,2,2,0,1,0,0.244884910485933
1,0,2,1,0,0,0.240332283013463
0,1,1,0,0,0,0.238387748232918
0,2,2,0,1,0,0.237113402061856
3,2,2,1,0,0,0.230569948186528
2,1,2,1,0,0,0.225534308211474
2,2,1,0,0,0,0.221730890713835
1,2,1,0,0,0,0.211000216966804
0,0,2,1,0,0,0.209753047827446
3,0,2,0,0,0,0.204702627939142
0,2,1,0,0,0,0.193507521773555
1,1,2,1,0,0,0.187447227694906
2,2,2,1,0,0,0.173228346456693
0,1,2,1,0,0,0.171611526147279
1,2,2,1,0,0,0.161188369152971
3,1,2,0,0,0,0.148816936488169
2,0,2,0,0,0,0.146137787056367
0,2,2,1,0,0,0.134485666104553
3,2,2,0,0,0,0.123589468027942
1,0,2,0,0,0,0.112688049957423
2,1,2,0,0,0,0.108786610878661
0,0,2,0,0,0,0.0983143012506797
1,1,2,0,0,0,0.093716719914803
2,2,2,0,0,0,0.0865800865800866
0,1,2,0,0,0,0.0821571518854013
1,2,2,0,0,0,0.0757657901870426
0,2,2,0,0,0,0.0591321897073663
1,3,0,0,0,0,0
