"X_START","X_END","Y_START","Y_END"
-113.333333,-115,40,43.333333
-115,-120,43.333333,48.333333
-120,-121.666667,48.333333,51.666667
-121.666667,-125,51.666667,55
-125,-126.666667,55,58.333333
-126.666667,-128.333333,58.333333,60
-128.333333,-130,60,63.333333
-130,-156.666667,63.333333,143.333333
-156.666667,-158.333333,143.333333,146.666667
-158.333333,-231.666667,146.666667,220
-231.666667,-231.666667,220,231.666667
-231.666667,-230,231.666667,236.666667
-230,-226.666667,236.666667,253.333333
-226.666667,-111.666667,253.333333,368.333333
-111.666667,-108.333333,368.333333,368.333333
-108.333333,-106.666667,368.333333,370
-106.666667,-103.333333,370,370
-103.333333,-101.666667,370,371.666667
-101.666667,-98.333333,371.666667,371.666667
-98.333333,-96.666667,371.666667,373.333333
-96.666667,-93.333333,373.333333,373.333333
-93.333333,-91.666667,373.333333,375
-91.666667,-88.333333,375,375
-88.333333,-86.666667,375,376.666667
-86.666667,-83.333333,376.666667,376.666667
-83.333333,-81.666667,376.666667,378.333333
-81.666667,-78.333333,378.333333,378.333333
-78.333333,-76.666667,378.333333,380
-76.666667,-73.333333,380,380
-73.333333,-71.666667,380,381.666667
-71.666667,-68.333333,381.666667,381.666667
-68.333333,-66.666667,381.666667,383.333333
-66.666667,-63.333333,383.333333,383.333333
-63.333333,-61.666667,383.333333,385
-61.666667,-58.333333,385,385
-58.333333,-56.666667,385,386.666667
-56.666667,-53.333333,386.666667,386.666667
-53.333333,-51.666667,386.666667,388.333333
-51.666667,-48.333333,388.333333,388.333333
-48.333333,-46.666667,388.333333,390
-46.666667,-43.333333,390,390
-43.333333,-41.666667,390,391.666667
-41.666667,-38.333333,391.666667,391.666667
-38.333333,-36.666667,391.666667,393.333333
