"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
1,1,1,1,1,0,0.886514369933677
3,0,2,1,1,0,0.882978723404255
2,1,1,0,0,1,0.870292887029289
0,1,1,1,1,0,0.862808145766345
3,0,1,1,0,0,0.850129198966408
2,2,1,0,0,1,0.849740932642487
0,1,0,1,0,0,0.8496
1,2,1,1,1,0,0.841648590021692
3,1,1,0,1,0,0.837362637362637
3,2,2,1,1,1,0.827794561933535
2,0,1,0,1,0,0.813499111900533
2,2,1,1,1,0,0.796931407942238
0,2,1,1,1,0,0.777351247600768
0,0,2,1,1,1,0.773104265402844
1,2,1,0,0,1,0.761388286334056
1,1,2,1,1,1,0.759701492537313
1,0,1,0,1,0,0.759393539881345
3,0,0,0,0,0,0.744097486671744
2,1,1,0,1,0,0.73866090712743
3,2,1,0,1,0,0.734631147540984
3,1,1,1,0,0,0.730337078651685
1,2,0,1,0,0,0.719286435543588
0,0,1,0,1,0,0.716981132075472
2,0,2,1,0,1,0.716723549488055
0,2,0,1,0,0,0.711784799316823
1,1,1,0,1,0,0.692260442260442
3,1,0,0,0,0,0.683523654159869
0,1,1,0,1,0,0.676890534108937
2,0,2,1,1,0,0.651612903225806
2,2,2,1,1,1,0.646502835538752
2,0,1,1,0,0,0.642533936651584
3,1,2,1,0,1,0.629807692307692
3,0,2,0,1,1,0.628205128205128
0,1,2,1,1,1,0.623693379790941
2,0,0,0,0,0,0.615826702033599
1,2,1,0,1,0,0.61378002528445
1,0,2,1,0,1,0.610112359550562
1,0,2,0,1,1,0.606805293005671
0,2,1,0,1,0,0.606147934678194
3,2,0,0,0,0,0.604774176047742
2,2,1,0,1,0,0.600877192982456
3,1,2,1,1,0,0.590123456790123
2,0,2,0,1,1,0.589041095890411
3,1,2,0,1,1,0.570469798657718
1,0,1,1,0,0,0.569995105237396
3,2,1,1,0,0,0.56301531213192
2,1,0,0,0,0,0.562731604023293
1,0,0,0,0,0,0.550293712379433
1,0,2,1,1,0,0.547233091112353
0,0,2,0,1,1,0.543921916592724
2,1,1,1,0,0,0.54047131147541
0,0,1,1,0,0,0.535792151162791
3,0,2,0,0,1,0.530973451327434
1,1,1,1,0,0,0.518798889730003
0,0,0,0,0,0,0.514915198778426
0,0,2,1,0,1,0.514468085106383
1,2,2,1,1,1,0.513178294573643
2,1,2,1,0,1,0.511013215859031
2,1,2,0,1,1,0.509316770186335
3,2,2,1,1,0,0.500563697857948
1,1,0,0,0,0,0.498998397435897
0,1,1,1,0,0,0.494276218611521
1,1,2,1,0,1,0.494117647058824
0,2,2,1,1,1,0.489495798319328
2,2,1,1,0,0,0.486323268206039
0,1,0,0,0,0,0.476355546357616
2,2,0,0,0,0,0.4751710966099
2,1,2,1,1,0,0.472049689440994
3,2,2,1,0,1,0.469613259668508
0,0,2,1,1,0,0.468419918085794
3,0,2,0,1,0,0.465986394557823
1,1,2,0,1,1,0.462107208872458
1,2,1,1,0,0,0.445461890654457
1,1,2,1,1,0,0.443213296398892
0,1,2,0,1,1,0.441941074523397
3,1,2,0,0,1,0.440366972477064
1,2,0,0,0,0,0.437719479446395
3,1,2,0,1,0,0.429809358752166
0,2,1,1,0,0,0.428521979923849
0,1,2,1,0,1,0.422436459246275
0,2,0,0,0,0,0.420796100731113
2,0,2,0,0,1,0.40625
2,2,2,1,0,1,0.400742115027829
2,0,2,0,1,0,0.394348894348894
1,2,2,1,0,1,0.384508990318119
3,0,1,0,0,0,0.381742738589212
0,2,2,1,0,1,0.380453752181501
2,2,2,0,1,1,0.37953795379538
1,2,2,0,1,1,0.379310344827586
0,1,2,1,1,0,0.379101899827288
2,2,2,1,1,0,0.374540103016924
3,1,1,0,0,0,0.366637323943662
1,2,2,1,1,0,0.361077111383109
1,0,2,0,0,1,0.359006211180124
0,0,2,0,0,1,0.357482813326282
2,1,2,0,0,1,0.349112426035503
3,0,2,1,0,0,0.34841628959276
0,2,2,0,1,1,0.341954022988506
1,1,2,0,0,1,0.338535414165666
0,1,2,0,0,1,0.331210191082803
1,0,2,0,1,0,0.326600985221675
3,2,2,0,1,1,0.325056433408578
2,0,1,0,0,0,0.315678603671381
3,2,1,0,0,0,0.313858211613823
2,1,2,0,1,0,0.312931034482759
0,0,2,0,1,0,0.312338222605695
2,1,1,0,0,0,0.309893992932862
3,2,2,0,0,1,0.299270072992701
1,0,1,0,0,0,0.291015625
0,2,2,1,1,0,0.290295358649789
3,1,2,1,0,0,0.287827076222981
3,2,2,0,1,0,0.286031042128603
2,0,2,1,0,0,0.283603096410978
0,2,2,0,0,1,0.27755905511811
0,0,1,0,0,0,0.272754257726986
1,1,2,0,1,0,0.271659324522761
1,2,2,0,0,1,0.26905311778291
0,1,2,0,1,0,0.268032437046522
1,1,1,0,0,0,0.265206372194062
3,2,2,1,0,0,0.262800417972832
2,2,1,0,0,0,0.259789565028745
1,0,2,1,0,0,0.25936329588015
2,2,2,0,0,1,0.257869249394673
2,1,2,1,0,0,0.247538677918425
0,1,1,0,0,0,0.245748843827819
0,0,2,1,0,0,0.235671628487387
0,2,1,0,0,0,0.226355955301172
1,2,1,0,0,0,0.218166620228476
1,1,2,1,0,0,0.215875370919881
2,2,2,0,1,0,0.215221774193548
0,2,2,0,1,0,0.20703125
1,2,2,0,1,0,0.203906622201048
0,1,2,1,0,0,0.199064546304958
2,2,2,1,0,0,0.196668802049968
1,2,2,1,0,0,0.186002178649237
0,2,2,1,0,0,0.166183924692252
3,0,2,0,0,0,0.156794425087108
3,1,2,0,0,0,0.156521739130435
3,2,2,0,0,0,0.136692132975428
2,0,2,0,0,0,0.133197417601087
2,1,2,0,0,0,0.129547844374343
1,0,2,0,0,0,0.117808546192409
0,0,2,0,0,0,0.103747461694665
1,1,2,0,0,0,0.101706256273001
0,1,2,0,0,0,0.0880497556641493
2,2,2,0,0,0,0.0869059917355372
0,2,2,0,0,0,0.0686841210472628
1,2,2,0,0,0,0.0680106592515352
