"balls","strikes","outs_when_up","on_1b","on_2b","on_3b","RE"
1,1,0,0,0,0,0.471515892420538
1,1,1,1,0,0,0.469182095148816
0,1,1,1,0,0,0.468110709987966
2,2,1,1,0,0,0.459941615309763
0,2,2,0,1,1,0.459214501510574
2,2,0,0,0,0,0.452911788830065
1,1,2,1,0,1,0.451127819548872
3,2,2,0,1,1,0.445652173913043
0,1,0,0,0,0,0.4398696822324
0,0,2,1,1,0,0.431497315569696
1,0,2,0,0,1,0.430379746835443
3,0,2,0,1,0,0.429602888086643
0,2,1,1,0,0,0.425139848634419
2,1,2,0,0,1,0.423868312757202
1,2,0,0,0,0,0.411304073255447
1,2,2,0,1,1,0.410071942446043
1,1,2,1,1,0,0.405349794238683
3,2,2,1,1,0,0.403420523138833
1,2,1,1,0,0,0.403390675641985
0,1,2,1,0,1,0.3978590544157
3,0,1,0,0,0,0.390130353817505
0,0,2,0,0,1,0.388395190799791
2,0,2,0,1,0,0.386759581881533
0,2,0,0,0,0,0.375746989059483
1,1,2,0,0,1,0.370552147239264
2,2,2,1,0,1,0.363478260869565
0,1,2,1,1,0,0.359259259259259
1,0,2,0,1,0,0.354098360655738
0,1,2,0,0,1,0.334459459459459
3,1,2,0,1,0,0.33276740237691
3,1,1,0,0,0,0.329034941763727
0,2,2,1,0,1,0.327868852459016
2,1,2,0,1,0,0.323832145684877
2,2,2,1,1,0,0.317616240995416
0,0,2,0,1,0,0.312967833299616
3,2,1,0,0,0,0.308536585365854
1,2,2,1,0,1,0.307284768211921
1,2,2,1,1,0,0.304610318331504
2,2,2,0,0,1,0.304232804232804
2,0,1,0,0,0,0.299486902511477
1,1,2,0,1,0,0.298345153664303
0,2,2,1,1,0,0.291666666666667
3,0,2,1,0,0,0.287671232876712
2,0,2,1,0,0,0.287190082644628
2,1,1,0,0,0,0.274169802061181
1,2,2,0,0,1,0.27375
0,1,2,0,1,0,0.269938650306748
1,0,1,0,0,0,0.268731797723061
0,2,2,0,0,1,0.263374485596708
3,1,2,1,0,0,0.260773480662983
3,2,2,0,1,0,0.256786500366838
0,0,1,0,0,0,0.252948709307812
2,2,2,0,1,0,0.2495
1,1,1,0,0,0,0.243904468669385
1,2,2,0,1,0,0.235530951182687
1,0,2,1,0,0,0.234000439850451
0,1,1,0,0,0,0.231727195670601
3,2,2,1,0,0,0.22962226640159
2,1,2,1,0,0,0.220555800617556
0,2,2,0,1,0,0.216494845360825
2,2,1,0,0,0,0.214933018124507
0,0,2,1,0,0,0.203788001950902
1,2,1,0,0,0,0.201577710641155
0,2,1,0,0,0,0.194672885724807
3,0,2,0,0,0,0.194078947368421
1,1,2,1,0,0,0.192536983881652
0,1,2,1,0,0,0.169747899159664
2,2,2,1,0,0,0.168525776303889
1,2,2,1,0,0,0.160696761530913
3,1,2,0,0,0,0.143064985451018
2,0,2,0,0,0,0.141322044936503
0,2,2,1,0,0,0.128086927889365
3,2,2,0,0,0,0.120568837592745
1,0,2,0,0,0,0.109936109275171
2,1,2,0,0,0,0.100712105798576
0,0,2,0,0,0,0.0961164227091971
1,1,2,0,0,0,0.0901960784313725
2,2,2,0,0,0,0.0819099862859993
0,1,2,0,0,0,0.0797596510000823
1,2,2,0,0,0,0.0726000208920923
0,2,2,0,0,0,0.0601127113337508
